Channel Title,Subscribers,Total Views,Video Count,Channel ID
Linkin Park,24200000,18971424947,1086,UCZU9T1ceaOgwfLRq7OKFU4Q
WatchMojo.com,25900000,17624994684,30706,UCaWd5_7JhbQBe4dknZhsHJg
Like Nastya,130000000,115533837090,978,UCJplp5SjeGSdVdwsfb9Q7lQ
Technical Guruji,23700000,3884762562,5924,UCOhHO2ICt0ti9KAh-QHvttQ
Zee Music Company,120000000,80763786705,14682,UCFFbwnve3yF62-tVXkTyHqg
BANGTANTV,81200000,25531146524,2912,UCLkAepWjdylmXSltofFvsYQ
✿ Kids Diana Show,136000000,118344130295,1409,UCk8GzjMOrta8yxDcKfylJYw
Stokes Twins,130000000,25028612901,388,UCbp9MyKCTEww4CxEzc_Tp0Q
T-Series,301000000,309143036562,24210,UCq-Fj5jknLsUf-MWSy4_brA
BLACKPINK,98500000,39559371926,635,UCOmHUn--16B90oW2L6FRR3A
PewDiePie,110000000,29395831346,4648,UC-lHJZR3Gqxm24_Vd_AJ5Yw
Dude Perfect,61500000,19539555647,504,UCRijo3ddMTht_IHyNSNXpNQ
The Tonight Show Starring Jimmy Fallon,32700000,18721864894,12718,UC8-Th83bH_thdKZDJCrn88g
MrBeast,424000000,93991066041,896,UCX6OQ3DkcsbYNE6H8uQQuVA
Vlad and Niki,144000000,111407910304,933,UCvlE5gTbOvjiolFlEm-c_Ow
Billie Eilish,56500000,20227072825,164,UCiGm_E4ZwYSHV3bcW1pnSeQ
jacksepticeye,31000000,17307891210,5263,UCYzPXprvl5Y-Sf0g4vX-m6g
Kurzgesagt – In a Nutshell,24400000,3402601063,300,UCsXVk37bltHxD1rDPwtNM8Q
Cocomelon - Nursery Rhymes,196000000,208186897881,1676,UCbCmjCuTUZos6Inko4u57UQ
Mark Rober,70600000,13880160809,225,UCY1kMZp36IQSyNx_9h4mpCg
