Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,429000000,93810339897,896,2025-09-01
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19575354554,506,2025-09-01
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3410457128,301,2025-09-01
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56600000,20227072825,164,2025-09-01
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18735374617,12730,2025-09-01
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,302000000,310284441912,24243,2025-09-01
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,111855713661,936,2025-09-01
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29399673036,4648,2025-09-01
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98700000,39962585446,635,2025-09-01
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3887982962,5935,2025-09-01
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-09-01
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81054908529,14727,2025-09-01
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17316229177,5264,2025-09-01
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25344490647,389,2025-09-01
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1688,2025-09-01
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70700000,13985190315,226,2025-09-01
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118618933555,1415,2025-09-01
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115788153667,981,2025-09-01
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17639491121,30785,2025-09-01
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25531146524,2916,2025-09-01
